x,y1,y2
784,2697,1327
785,2699,1327
786,2698,1323
787,2693,1321
788,2696,1326
789,2703,1324
790,2704,1323
791,2709,1322
792,2713,1325
793,2709,1322
794,2703,1326
795,2711,1324
796,2717,1325
797,2725,1325
798,2723,1323
799,2733,1327
800,2742,1326
801,2743,1327
802,2748,1329
803,2745,1332
804,2753,1333
805,2747,1331
806,2742,1331
807,2740,1332
808,2741,1330
809,2736,1334
810,2732,1339
811,2734,1338
812,2741,1340
813,2744,1340
814,2740,1340
815,2736,1340
816,2746,1343
817,2751,1348
818,2752,1345
819,2762,1343
820,2762,1343
821,2771,1342
822,2778,1343
823,2780,1340
824,2774,1339
825,2770,1338
826,2766,1343
827,2761,1344
828,2755,1341
829,2759,1345
830,2759,1350
831,2760,1349
832,2765,1354
833,2772,1358
834,2774,1359
835,2783,1361
836,2777,1362
837,2786,1358
838,2789,1363
839,2791,1359
840,2787,1357
841,2788,1357
842,2796,1356
843,2802,1353
844,2803,1350
845,2798,1354
846,2798,1350
847,2807,1353
848,2808,1350
849,2816,1349
850,2813,1352
851,2822,1351
852,2820,1348
853,2815,1344
854,2821,1348
855,2831,1348
856,2836,1346
857,2831,1348
858,2837,1345
859,2839,1343
860,2840,1342
861,2842,1344
862,2841,1341
863,2838,1346
864,2846,1345
865,2853,1341
866,2858,1342
867,2867,1341
868,2862,1340
869,2858,1338
870,2859,1340
871,2858,1345
872,2858,1345
873,2860,1348
874,2859,1348
875,2856,1344
876,2852,1349
877,2853,1349
878,2847,1350
879,2848,1350
880,2844,1354
881,2851,1359
882,2850,1357
883,2849,1356
884,2857,1357
885,2851,1355
886,2860,1354
887,2863,1352
888,2864,1356
889,2866,1352
890,2862,1349
891,2871,1351
892,2873,1347
893,2878,1349
894,2873,1354
895,2878,1356
896,2876,1360
897,2871,1362
898,2870,1359
899,2865,1356
900,2862,1359
901,2870,1359
902,2870,1364
903,2866,1362
904,2870,1358
905,2872,1357
906,2874,1356
907,2883,1354
908,2882,1357
909,2891,1359
910,2887,1361
911,2893,1363
912,2902,1367
913,2904,1372
914,2898,1372
915,2893,1371
916,2892,1376
917,2901,1373
918,2910,1369
919,2911,1374
920,2920,1379
921,2929,1376
922,2926,1376
923,2923,1381
924,2920,1386
925,2919,1387
926,2916,1390
927,2923,1390
928,2919,1386
929,2913,1390
930,2915,1392
931,2920,1391
932,2914,1395
933,2910,1400
934,2908,1404
935,2914,1401
936,2919,1403
937,2918,1406
938,2928,1406
939,2933,1407
940,2927,1408
941,2929,1409
942,2924,1406
943,2919,1403
944,2924,1403
945,2924,1407
946,2920,1408
947,2924,1410
948,2927,1413
949,2934,1416
950,2934,1412
951,2933,1416
952,2940,1419
953,2934,1416
954,2933,1414
955,2939,1411
956,2944,1414
957,2947,1410
958,2946,1407
959,2949,1410
960,2945,1414
961,2953,1412
962,2960,1414
963,2955,1413
964,2955,1412
965,2962,1410
966,2960,1414
967,2967,1413
968,2973,1415
969,2967,1412
970,2974,1417
971,2970,1419
972,2965,1421
973,2966,1424
974,2966,1421
975,2960,1423
976,2959,1427
977,2958,1425
978,2963,1430
979,2967,1428
980,2972,1424
981,2966,1429
982,2965,1432
983,2965,1429
984,2972,1429
985,2981,1433
986,2989,1430
987,2995,1435
988,3003,1433
989,3008,1435
990,3014,1434
991,3021,1433
992,3015,1435
993,3019,1433
994,3015,1430
995,3025,1431
996,3026,1428
997,3020,1429
998,3024,1432
999,3027,1433
1000,3027,1431
1001,3029,1433
1002,3037,1430
1003,3043,1430
1004,3044,1434
1005,3043,1431
1006,3050,1434
1007,3052,1432
1008,3061,1428
1009,3066,1430
1010,3063,1428
1011,3071,1429
1012,3076,1431
1013,3080,1427
1014,3090,1423
1015,3095,1428
1016,3104,1431
1017,3098,1434
1018,3096,1434
1019,3098,1439
1020,3098,1435
1021,3104,1437
1022,3108,1435
1023,3103,1434
1024,3099,1432
1025,3108,1436
1026,3112,1438
1027,3115,1438
1028,3116,1440
1029,3119,1436
1030,3126,1438
1031,3136,1435
1032,3132,1435
1033,3135,1438
1034,3139,1437
1035,3137,1437
1036,3141,1436
1037,3137,1434
1038,3137,1436
1039,3145,1432
1040,3149,1437
1041,3147,1440
1042,3142,1444
1043,3146,1443
1044,3154,1444
1045,3154,1442
1046,3150,1444
1047,3154,1443
1048,3157,1446
1049,3164,1451
1050,3167,1451
1051,3164,1450
1052,3162,1454
1053,3169,1452
1054,3174,1449
1055,3176,1454
1056,3171,1452
1057,3168,1455
1058,3167,1458
1059,3171,1456
1060,3175,1453
1061,3176,1453
1062,3180,1451
1063,3180,1450
1064,3180,1454
1065,3183,1454
1066,3193,1452
1067,3193,1450
1068,3190,1455
1069,3199,1456
1070,3198,1461
1071,3193,1464
1072,3190,1468
1073,3197,1472
1074,3191,1472
1075,3189,1473
1076,3192,1469
1077,3197,1472
1078,3195,1471
1079,3198,1470
1080,3193,1466
1081,3201,1468
1082,3202,1467
1083,3207,1466
1084,3217,1469
1085,3217,1471
1086,3218,1472
1087,3227,1469
1088,3237,1473
1089,3235,1472
1090,3244,1476
1091,3248,1476
1092,3242,1479
1093,3239,1483
1094,3241,1480
1095,3237,1476
1096,3243,1473
1097,3253,1476
1098,3248,1478
1099,3242,1478
1100,3245,1477
1101,3242,1481
1102,3251,1478
1103,3247,1476
1104,3256,1481
1105,3260,1482
1106,3267,1487
1107,3275,1492
1108,3285,1494
1109,3285,1493
1110,3287,1497
1111,3288,1493
1112,3290,1492
1113,3299,1492
1114,3296,1489
1115,3297,1493
1116,3298,1493
1117,3304,1495
1118,3306,1492
1119,3313,1489
1120,3321,1494
1121,3315,1496
1122,3311,1492
1123,3320,1493
1124,3319,1497
1125,3313,1499
1126,3309,1504
1127,3314,1503
1128,3319,1505
1129,3317,1501
1130,3314,1497
1131,3317,1495
1132,3326,1500
1133,3328,1499
1134,3331,1504
1135,3329,1506
1136,3326,1510
1137,3330,1515
1138,3337,1511
1139,3340,1509
1140,3343,1514
1141,3352,1516
1142,3357,1519
1143,3357,1517
1144,3355,1516
1145,3353,1512
1146,3349,1512
1147,3353,1513
1148,3360,1516
1149,3365,1519
1150,3375,1517
1151,3385,1521
1152,3384,1522
1153,3392,1521
1154,3393,1518
1155,3402,1520
1156,3411,1521
1157,3414,1518
1158,3410,1516
1159,3404,1517
1160,3405,1517
1161,3400,1518
1162,3396,1519
1163,3401,1517
1164,3400,1515
1165,3399,1513
1166,3401,1517
1167,3401,1520
1168,3400,1525
1169,3410,1526
1170,3417,1527
1171,3414,1528
1172,3420,1530
1173,3415,1527
1174,3424,1526
1175,3433,1524
1176,3430,1527
1177,3439,1523
1178,3448,1525
1179,3448,1529
1180,3449,1527
1181,3453,1526
1182,3450,1527
1183,3456,1527
1184,3460,1532
1185,3462,1529
1186,3470,1530
1187,3476,1532
1188,3485,1535
1189,3490,1533
1190,3500,1531
1191,3499,1535
1192,3505,1534
1193,3511,1530
1194,3519,1535
1195,3514,1540
1196,3509,1544
1197,3518,1544
1198,3514,1544
1199,3522,1546
1200,3523,1545
1201,3528,1550
1202,3536,1550
1203,3546,1549
1204,3552,1547
1205,3557,1552
1206,3558,1553
1207,3563,1554
1208,3571,1553
1209,3568,1549
1210,3569,1554
1211,3572,1551
1212,3570,1555
1213,3566,1552
1214,3575,1555
1215,3570,1557
1216,3571,1562
1217,3580,1560
1218,3577,1565
1219,3587,1569
1220,3588,1573
1221,3592,1569
1222,3601,1566
1223,3595,1565
1224,3590,1570
1225,3592,1575
1226,3601,1578
1227,3604,1575
1228,3607,1573
1229,3610,1577
1230,3618,1574
1231,3624,1573
1232,3626,1573
1233,3636,1569
1234,3638,1569
1235,3642,1572
1236,3638,1576
1237,3641,1573
1238,3639,1572
1239,3642,1574
1240,3641,1579
1241,3647,1578
1242,3653,1582
1243,3656,1582
1244,3666,1581
1245,3663,1580
1246,3661,1576
1247,3656,1576
1248,3663,1575
1249,3657,1571
1250,3654,1570
1251,3654,1567
1252,3648,1564
1253,3647,1564
1254,3642,1565
1255,3644,1563
1256,3647,1563
1257,3651,1560
1258,3659,1557
1259,3657,1559
1260,3660,1555
1261,3660,1555
1262,3667,1555
1263,3666,1557
1264,3663,1555
1265,3667,1556
1266,3663,1559
1267,3657,1560
1268,3657,1558
1269,3665,1562
1270,3672,1566
1271,3670,1568
1272,3677,1564
1273,3680,1565
1274,3683,1566
1275,3686,1569
1276,3685,1567
1277,3689,1567
1278,3692,1568
1279,3690,1569
1280,3700,1571
1281,3700,1576
1282,3695,1573
1283,3701,1576
1284,3707,1578
1285,3709,1574
1286,3716,1571
1287,3712,1567
1288,3722,1564
1289,3721,1563
1290,3720,1567
1291,3724,1565
1292,3725,1570
1293,3734,1568
1294,3730,1572
1295,3736,1575
1296,3743,1575
1297,3747,1576
1298,3743,1580
1299,3742,1576
1300,3744,1578
1301,3749,1575
1302,3759,1573
1303,3769,1571
1304,3764,1570
1305,3771,1567
1306,3776,1564
1307,3786,1564
1308,3786,1562
1309,3781,1567
1310,3777,1567
1311,3773,1568
1312,3771,1572
1313,3773,1569
1314,3769,1570
1315,3767,1570
1316,3777,1575
1317,3784,1573
1318,3780,1570
1319,3782,1566
1320,3779,1570
1321,3787,1572
1322,3788,1572
1323,3794,1571
1324,3799,1571
1325,3798,1573
1326,3799,1578
1327,3802,1577
1328,3803,1575
1329,3798,1572
1330,3793,1571
1331,3792,1572
1332,3787,1572
1333,3794,1576
1334,3802,1580
1335,3807,1577
1336,3817,1581
1337,3811,1580
1338,3805,1584
1339,3801,1582
1340,3796,1582
1341,3799,1586
1342,3795,1583
1343,3805,1583
1344,3813,1585
1345,3820,1585
1346,3817,1581
1347,3827,1582
1348,3829,1578
1349,3835,1582
1350,3838,1582
1351,3845,1586
1352,3847,1584
1353,3843,1583
1354,3838,1584
1355,3836,1589
1356,3837,1588
1357,3834,1584
1358,3843,1586
1359,3844,1584
1360,3845,1583
1361,3846,1580
1362,3850,1579
1363,3855,1582
1364,3850,1578
1365,3851,1578
1366,3856,1580
1367,3860,1584
1368,3868,1587
1369,3872,1588
1370,3872,1588
1371,3875,1593
1372,3882,1596
